category	de_genes
05020	ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022982,ENSMUSG00000029656,ENSMUSG00000035031
00983	ENSMUSG00000005547,ENSMUSG00000024066,ENSMUSG00000029727,ENSMUSG00000033308,ENSMUSG00000056035,ENSMUSG00000060407,ENSMUSG00000089960
00630	ENSMUSG00000020258,ENSMUSG00000022477,ENSMUSG00000023832,ENSMUSG00000032047
05146	ENSMUSG00000022149,ENSMUSG00000026072,ENSMUSG00000026193,ENSMUSG00000029656,ENSMUSG00000035031
04614	ENSMUSG00000017760,ENSMUSG00000031980
05416	ENSMUSG00000005610,ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
04974	ENSMUSG00000001435,ENSMUSG00000022462,ENSMUSG00000033161
00100	ENSMUSG00000024781,ENSMUSG00000032018,ENSMUSG00000034926
02010	ENSMUSG00000025194,ENSMUSG00000027048,ENSMUSG00000042476,ENSMUSG00000044749
00604	ENSMUSG00000025232,ENSMUSG00000056091
00130	ENSMUSG00000001670,ENSMUSG00000029445
00860	ENSMUSG00000003617,ENSMUSG00000022742,ENSMUSG00000025270,ENSMUSG00000032786,ENSMUSG00000089960
00471	ENSMUSG00000044005
04640	ENSMUSG00000002944,ENSMUSG00000026072,ENSMUSG00000027947
00051	ENSMUSG00000021210,ENSMUSG00000025271,ENSMUSG00000027227,ENSMUSG00000028307
04145	ENSMUSG00000002944,ENSMUSG00000003814,ENSMUSG00000024164,ENSMUSG00000024863,ENSMUSG00000031447,ENSMUSG00000037936,ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
04973	ENSMUSG00000027690,ENSMUSG00000033161
04920	ENSMUSG00000002944,ENSMUSG00000018796,ENSMUSG00000024900,ENSMUSG00000027513,ENSMUSG00000030168
05150	ENSMUSG00000024164,ENSMUSG00000024863,ENSMUSG00000033860,ENSMUSG00000073418
00300	ENSMUSG00000029695
00480	ENSMUSG00000008540,ENSMUSG00000021033,ENSMUSG00000032350,ENSMUSG00000058135,ENSMUSG00000060803,ENSMUSG00000063856
00603	ENSMUSG00000025232
00750	ENSMUSG00000063558
00531	ENSMUSG00000025232,ENSMUSG00000034707
04020	ENSMUSG00000014077,ENSMUSG00000016319,ENSMUSG00000020122,ENSMUSG00000029467
05215	ENSMUSG00000020122,ENSMUSG00000023944,ENSMUSG00000035041,ENSMUSG00000042406,ENSMUSG00000060803
00040	ENSMUSG00000010025,ENSMUSG00000029201,ENSMUSG00000089960
05144	ENSMUSG00000002944,ENSMUSG00000017009
04930	ENSMUSG00000027690,ENSMUSG00000041237
00450	ENSMUSG00000003477,ENSMUSG00000024899
05218	ENSMUSG00000020122,ENSMUSG00000030827,ENSMUSG00000036585
04514	ENSMUSG00000017009,ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
00592	ENSMUSG00000024665
00290	ENSMUSG00000031299
04260	ENSMUSG00000017778,ENSMUSG00000029467,ENSMUSG00000033161,ENSMUSG00000064358
05014	ENSMUSG00000014077,ENSMUSG00000022982,ENSMUSG00000063856
04141	ENSMUSG00000003814,ENSMUSG00000015656,ENSMUSG00000020571,ENSMUSG00000020986,ENSMUSG00000023944,ENSMUSG00000025130,ENSMUSG00000027248,ENSMUSG00000028410,ENSMUSG00000029657,ENSMUSG00000030062,ENSMUSG00000042406,ENSMUSG00000045302
04972	ENSMUSG00000029467,ENSMUSG00000033161
00920	ENSMUSG00000024899
04720	ENSMUSG00000014077,ENSMUSG00000042406
00740	ENSMUSG00000019989
04320	ENSMUSG00000020122
04810	ENSMUSG00000020122,ENSMUSG00000021676,ENSMUSG00000026193,ENSMUSG00000030827,ENSMUSG00000036402,ENSMUSG00000036585,ENSMUSG00000056201
05143	ENSMUSG00000032083
00511	ENSMUSG00000025232
04010	ENSMUSG00000014077,ENSMUSG00000015656,ENSMUSG00000020122,ENSMUSG00000020190,ENSMUSG00000026072,ENSMUSG00000030827,ENSMUSG00000036402,ENSMUSG00000036585,ENSMUSG00000042406
00564	ENSMUSG00000001211,ENSMUSG00000026623,ENSMUSG00000031545,ENSMUSG00000070644
00520	ENSMUSG00000025232,ENSMUSG00000026670,ENSMUSG00000029201
04672	ENSMUSG00000026417
04910	ENSMUSG00000020190,ENSMUSG00000021069,ENSMUSG00000027513,ENSMUSG00000030244,ENSMUSG00000041237,ENSMUSG00000067279
00565	ENSMUSG00000022425
04142	ENSMUSG00000004207,ENSMUSG00000017760,ENSMUSG00000021939,ENSMUSG00000024413,ENSMUSG00000024781,ENSMUSG00000025232,ENSMUSG00000031447,ENSMUSG00000034707
04971	ENSMUSG00000033161
00670	ENSMUSG00000030088
04360	ENSMUSG00000014077,ENSMUSG00000025810,ENSMUSG00000056201
04960	ENSMUSG00000033161
04970	ENSMUSG00000033161
05414	ENSMUSG00000029467
04650	ENSMUSG00000014077,ENSMUSG00000067212,ENSMUSG00000073411
00563	ENSMUSG00000021340
05410	ENSMUSG00000029467
00030	ENSMUSG00000028307
05412	ENSMUSG00000029467
04060	ENSMUSG00000020122,ENSMUSG00000026072,ENSMUSG00000027947
04912	ENSMUSG00000020122,ENSMUSG00000042406
03060	ENSMUSG00000024516
04916	ENSMUSG00000035041
04080	ENSMUSG00000045092
04540	ENSMUSG00000020122
03410	ENSMUSG00000054509
04962	ENSMUSG00000035041
05219	ENSMUSG00000020122
05214	ENSMUSG00000020122
00514	ENSMUSG00000089960
05223	ENSMUSG00000020122
04270	ENSMUSG00000028715,ENSMUSG00000066072
04621	ENSMUSG00000023944
05213	ENSMUSG00000020122
04130	ENSMUSG00000032757
00230	ENSMUSG00000019989,ENSMUSG00000021236,ENSMUSG00000024066,ENSMUSG00000024899,ENSMUSG00000041237
04370	ENSMUSG00000014077
05140	ENSMUSG00000024164
05142	ENSMUSG00000003814,ENSMUSG00000024164
04210	ENSMUSG00000014077,ENSMUSG00000026072
00562	ENSMUSG00000021238
04510	ENSMUSG00000017344,ENSMUSG00000020122,ENSMUSG00000026193
05212	ENSMUSG00000020122
04662	ENSMUSG00000014077
04914	ENSMUSG00000023944
05222	ENSMUSG00000026193
04144	ENSMUSG00000015656,ENSMUSG00000020122,ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
05100	ENSMUSG00000026193
00510	ENSMUSG00000030062
04520	ENSMUSG00000020122
04630	ENSMUSG00000027947
04666	ENSMUSG00000056201
03018	ENSMUSG00000025980
04012	ENSMUSG00000020122
04114	ENSMUSG00000014077
04310	ENSMUSG00000014077
03050	ENSMUSG00000032301
05016	ENSMUSG00000016319,ENSMUSG00000017778,ENSMUSG00000022982,ENSMUSG00000035041,ENSMUSG00000063856,ENSMUSG00000064358
00240	ENSMUSG00000021236,ENSMUSG00000033308
05010	ENSMUSG00000002985,ENSMUSG00000014077,ENSMUSG00000017778,ENSMUSG00000025260,ENSMUSG00000029467,ENSMUSG00000064358
04660	ENSMUSG00000014077
05160	ENSMUSG00000020122,ENSMUSG00000037936
04380	ENSMUSG00000026072
05200	ENSMUSG00000020122,ENSMUSG00000023944,ENSMUSG00000026193,ENSMUSG00000030827,ENSMUSG00000036585
04062	ENSMUSG00000036402
04722	ENSMUSG00000042406
05145	ENSMUSG00000015656
03040	ENSMUSG00000002455,ENSMUSG00000015656
05012	ENSMUSG00000016319,ENSMUSG00000017778,ENSMUSG00000064358
00190	ENSMUSG00000017778,ENSMUSG00000064358
03013	ENSMUSG00000005610
00052	
00061	
00460	
00512	
00524	
00532	
00533	
00534	
00600	
00601	
00730	
00780	
00785	
00790	
00970	
03008	
03015	
03020	
03022	
03030	
03420	
03430	
03440	
03450	
04070	
04110	
04115	
04120	
04122	
04140	
04150	
04330	
04340	
04350	
04530	
04620	
04622	
04623	
04664	
04670	
04710	
04730	
04740	
04742	
04744	
04966	
05210	
05211	
05216	
05217	
05220	
05221	
05310	
05323	
05340	
